가지,가지,"가지고추,나무,나물,태국가지,녹색가지,말림,여주,건조"
감자,감자,
건고추,건고추,
고구마,고구마,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
고구마말랭이,"고구마말랭,고구마스틱,고구마바,고구마츄,반시고구마",
고사리,고사리,
고추,고추,
깐마늘,깐마늘,
깻잎,깻잎,
느타리버섯,느타리버섯,
늙은호박,호박,"ml,주스,쥬스,음료,즙,원액,액상,에이드,애호박"
다진마늘,다진마늘,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
다진생강,다진생강,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
단호박,단호박,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
당근,당근,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
대파,대파,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
더덕,더덕,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
도라지,도라지,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
두릅,두릅,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
두부,두부,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
마,마,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
마늘,마늘,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
무,무,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
미나리,미나리,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
배추,배추,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
부추,부추,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
브로콜리,브로콜리,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
비트,비트,"ml,주스,쥬스,음료,즙,원액,액상,에이드,분말,가루"
상추,상추,
새송이버섯,새송이버섯,
생강,생강,
숙주나물,숙주,
순두부,순두부,
시금치,시금치,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
쑥갓,쑥갓,
아스파라거스,아스파라거스,
아욱,아욱,
알로에,알로에,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
애호박,애호박,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
야콘,야콘,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
양배추,양배추,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
양상추,양상추,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
양송이버섯,양송이버섯,
양파,양파,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
연근,연근,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
오이,오이,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
옥수수,옥수수,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
우엉,우엉,
죽순,죽순,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
쪽파,쪽파,
청경채,청경채,
콜라비,콜라비,
콜리플라워,콜리플라워,
콩나물,콩나물,
토란,토란,
파프리카,파프리카,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
피망,피망,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
호박,호박,"ml,주스,쥬스,음료,즙,원액,액상,에이드"
