가리비,가리비,
가오리,가오리,"가오리포,구운"
가자미,가자미,
갈치,갈치,"조림,구운,구이,쌈장"
개불,개불,
건다시마,건다시마,
건미역,"건미역,자른미역","미역냉국,미역줄기"
건새우,건새우,
건오징어,건오징어,
건홍합,건홍합,
고둥,고둥,
고등어,고등어,자반
곤이,곤이,
골뱅이,골뱅이,
과메기,과메기,
광어,광어,초밥
굴,굴,
굴비,굴비,
김자반,김자반,
꼬막,꼬막,
꽁치,꽁치,"캔,통조림"
꽃게,꽃게,"꽃게랑,양념"
낙지,낙지,"호롱,양념,탕,볶음"
날치알,날치알,
다슬기,다슬기,"육수,농축액,즙"
다시팩,다시팩,
대게,대게,
대구,대구,"대구곤,생선까스,알"
도다리,도다리,
도미,도미,
도시락김,도시락김,김자반
동태,동태,
랍스터,랍스터,
매생이,매생이,곰피
멍게,멍게,젓갈
메로,메로,
멸치,멸치,"멸치다시팩,뱅어포,디포리"
문어,문어,"통족,오징어,진미채,가공,오족,조미"
민어,민어,"굴비,조기"
바지락,바지락,
병어,"병어,덕자",
삼치,삼치,
새우,새우,"딱새우,먹새우"
생김,김,김밥김
생다시마,다시마,
생미역,미역,"요즘미역,간편,건조,줄기,자른,마른"
생태,생태,
성게알,"성게알,우니",
소라,소라,
어포,어포,
연어,연어,"파우치,스틱,간식"
오징어,오징어,"바베큐,구이,구운,오징어채,맥반석,정화식품,전기구이,페스츄리,건오징어,건조,한양식품,건어물,영화관,꾸이,조미,귀채,스틱,땅콩버터,해맑은푸드,해야미"
우럭,우럭,
우렁이,우렁이,
자반고등어,"자반고등어,간고등어",
장어,장어,"데리야끼,구운,장어즙,장어뼈,장어탕"
전복,전복,"전복 낙지,전복내장"
전어,전어,
전장김,전장김,
조개,조개,
조개관자,"관자",
조개살,조개살,
조기,조기,
쥐포,쥐포,
진미채,진미채,
쭈꾸미,쭈꾸미,
참치,참치,
킹크랩,킹크랩,
톳,톳,
한치,한치,
해물가루,"가루,분말,감치미,육수",
해삼,해삼,
해파리,해파리,
홍게,홍게,
홍어,홍어,"무침,껍질"
홍합,홍합,
황태채,황태채,
황태포,황태포,
훈제연어,훈제연어,
